product_id,status,trading_disabled,first_daily_candle,days_history,median_30d_volume_usd,quote_increment,min_market_funds_usd
COOKIE-USD,online,False,2025-03-11,556,105285.81,0.000001,1
CORECHAIN-USD,online,False,2024-06-21,819,71277.18,0.000001,1
COSMOSDYDX-USD,online,False,2025-08-07,407,9773.3,0.0001,1
COTI-USD,online,False,2021-08-26,1849,736239.56,0.000001,1
COW-USD,online,False,2024-09-24,724,98734.27,0.0001,1
CP-USD,online,False,2026-09-02,16,721924.22,0.00001,1
CRO-USD,online,False,2021-11-03,1780,826975.4,0.00001,1
CRV-USD,online,False,2021-03-25,2003,2056562.37,0.0001,1
CTR-USD,online,False,2026-05-26,115,115238.36,0.000001,1
CTSI-USD,online,False,2021-05-06,1961,38156.62,0.000001,1
CTX-USD,online,False,2022-01-25,1697,29591.45,0.0001,5
CVC-USD,online,False,2021-11-03,1780,18179.29,0.000001,1
CVX-USD,online,False,2022-09-08,1471,391251.44,0.001,1
DAI-USD,delisted,True,2025-11-23,299,,0.0001,1
DASH-USD,online,False,2019-09-17,2558,2848337.94,0.01,1
DBR-USD,online,False,2025-10-29,324,30195.34,0.00001,1
DEEP-USD,online,False,2026-02-11,219,80610.67,0.00001,1
DEGEN-USD,online,False,2024-10-15,703,57611.88,0.000001,1
DEXT-USD,online,False,2022-06-23,1548,4523.69,0.00001,1
DIA-USD,online,False,2022-01-25,1697,91264.15,0.00001,1
DIEM-USD,online,False,2026-04-22,149,16423.92,0.01,1
DIMO-USD,online,False,2023-04-18,1249,22655.04,0.00001,1
DNT-USD,online,False,2021-11-03,1780,16343.23,0.000001,1
DOGE-USD,online,False,2021-06-03,1933,17736128.46,0.00001,1
DOGINME-USD,online,False,2025-04-01,535,70658.21,0.00000001,1
DOLO-USD,online,False,2025-09-11,372,10454.78,0.00001,1
DOOD-USD,online,False,2026-02-05,225,68424.21,0.000001,1
DOT-USD,online,False,2021-06-16,1920,4182740.71,0.0001,1
DRB-USD,online,False,2026-08-24,25,212950.07,0.0000001,1
DRIFT-USD,online,False,2024-05-17,854,113887.41,0.00001,1
DRV-USD,online,False,2026-05-28,113,721033.42,0.00001,1
EDGE-USD,online,False,2025-04-02,534,100986.73,0.00001,1
EDGEX-USD,online,False,2026-03-31,171,71388.6,0.0001,1
EGLD-USD,online,False,2022-12-07,1381,176191.12,0.0001,1
EIGEN-USD,online,False,2024-10-01,717,305238.43,0.00001,1
ELA-USD,online,False,2022-06-22,1549,20893.54,0.001,1
ELSA-USD,online,False,2026-01-20,241,27367.34,0.00001,1
ENA-USD,online,False,2025-06-05,470,4944724.66,0.00001,1
ENS-USD,online,False,2021-11-16,1767,237382.12,0.001,1
EOS-USD,delisted,True,2025-11-23,299,,0.0001,1
ERA-USD,online,False,2025-07-17,428,20130.44,0.0001,1
ESP-USD,online,False,2026-02-13,217,66776.52,0.00001,1
ETC-USD,online,False,2018-08-08,2963,1056267.22,0.001,1
ETH-USD,online,False,2016-05-18,3775,259218601.67,0.01,1
ETHFI-USD,online,False,2025-02-06,589,481768.36,0.001,1
EUL-USD,online,False,2025-08-06,408,108070.5,0.001,1
FAI-USD,online,False,2025-03-27,540,67817.49,0.0000001,1
FARM-USD,online,False,2021-07-29,1877,38685.13,0.001,1
FARTCOIN-USD,online,False,2025-06-12,463,3287550.9,0.00001,1
FET-USD,online,False,2021-07-27,1879,2874885.02,0.00001,1
FIDA-USD,online,False,2022-02-01,1690,24370.34,0.000001,1
FIGHT-USD,online,False,2026-01-22,239,29119.96,0.00001,1
FIL-USD,online,False,2020-12-09,2109,2188771.69,0.0001,1
FLOCK-USD,online,False,2025-09-09,374,575038.19,0.000001,1
FLOKI-USD,online,False,2024-11-21,666,153486.8,0.00000001,1
FLOW-USD,online,False,2022-05-19,1583,31506.8,0.00001,1
FLR-USD,online,False,2023-04-14,1253,621654.93,0.000001,1
FLUID-USD,online,False,2025-11-25,297,25848.38,0.001,1
FORT-USD,online,False,2022-06-15,1556,13760.95,0.000001,1
FORTH-USD,online,False,2021-04-21,1976,82071.66,0.00001,1
FOX-USD,online,False,2021-12-07,1746,10525.82,0.00001,1
FUN1-USD,online,False,2026-01-15,246,18381.44,0.00001,1
G-USD,online,False,2024-08-13,766,13600.12,0.000001,1
GEOD-USD,online,False,2026-06-23,87,128019.06,0.0001,1
GFI-USD,online,False,2022-01-11,1711,29397.35,0.0001,1
GHST-USD,online,False,2022-12-06,1382,67709.28,0.0001,1
GIGA-USD,online,False,2024-12-11,646,323509.8,0.0000001,1
GLM-USD,online,False,2022-03-09,1654,51284.78,0.0001,1
GMT-USD,online,False,2022-04-28,1604,20247.78,0.000001,1
GNO-USD,online,False,2022-07-21,1520,9618.71,0.01,1
GODS-USD,online,False,2021-12-09,1744,32925.53,0.00001,1
GRASS-USD,online,False,2026-08-26,23,83416.9,0.0001,1
GROVE-USD,online,False,2026-07-06,74,87266.2,0.00001,1
GRT-USD,online,False,2020-12-17,2101,355908.91,0.000001,1
GRVT-USD,online,False,2026-07-30,50,331516.73,0.0001,1
GST-USD,online,False,2022-04-28,1604,52156.18,0.000001,1
GTC-USD,online,False,2021-06-10,1926,13268.57,0.0001,1
GWEI-USD,online,False,2026-02-24,206,170180.55,0.000001,1
HBAR-USD,online,False,2022-10-13,1436,4299601.77,0.00001,1
HFT-USD,online,False,2022-11-07,1411,188782.17,0.00001,1
HIGH-USD,online,False,2022-03-08,1655,130936.84,0.00001,1
HNT-USD,online,False,2023-07-12,1164,926041.43,0.0001,1
HOME-USD,online,False,2025-06-10,465,200837.17,0.00001,1
HONEY-USD,online,False,2025-11-23,299,79695.5,0.000001,1
HOPR-USD,online,False,2022-06-22,1549,16645.05,0.000001,1
HYPE-USD,online,False,2026-02-05,225,44447764.98,0.01,1
HYPER-USD,online,False,2025-12-10,282,7575.02,0.0001,1
